CREATION DATE,STATUS,COMPLETION DATE,SERVICE REQUEST NUMBER,TYPE OF SERVICE REQUEST,MOST RECENT ACTION,STREET ADDRESS,ZIP
2018-12-17T00:00:00.000,Open,,18-03380123,Pothole in Street,,10300 S WALLACE ST,60628.0
2018-12-18T00:00:00.000,Open,,18-03388180,Pothole in Street,,4100 S WESTERN BLVD,60609.0
2018-12-18T00:00:00.000,Open,,18-03388493,Pothole in Street,,5230 S NEW ENGLAND AVE,60638.0
2018-12-17T00:00:00.000,Open,,18-03386050,Pothole in Street,,1053 E 92ND ST,60619.0
2018-12-17T00:00:00.000,Open,,18-03382135,Pothole in Street,,4756 W 85TH ST,60652.0
2018-12-17T00:00:00.000,Open,,18-03382643,Pothole in Street,,3623 N NORA AVE,60634.0
2018-12-17T00:00:00.000,Completed,2018-12-18T00:00:00.000,18-03378491,Pothole in Street,Completed Upon Arrival,719 N DRAKE AVE,60624.0
2018-12-17T00:00:00.000,Open,,18-03380795,Pothole in Street,,1900 S HAMLIN AVE,60623.0
2018-12-18T00:00:00.000,Open,,18-03388657,Pothole in Street,,1899 S KOMENSKY AVE,60623.0
2018-12-17T00:00:00.000,Open,,18-03383604,Pothole in Street,,1646 N NATOMA AVE,60707.0
2018-12-18T00:00:00.000,Open,,18-03387491,Pothole in Street,,3530 W GOVERNORS PKWY,60624.0
2018-12-17T00:00:00.000,Open,,18-03381825,Pothole in Street,,7558 W DEVON AVE,60631.0
2018-12-17T00:00:00.000,Open,,18-03381945,Pothole in Street,,2411 N NEWCASTLE AVE,60707.0
2018-12-18T00:00:00.000,Open,,18-03388109,Pothole in Street,,6300 S NARRAGANSETT AVE,60638.0
2018-12-17T00:00:00.000,Open,,18-03381921,Pothole in Street,,4400 W BELDEN AVE,60639.0
2018-12-18T00:00:00.000,Open,,18-03389580,Pothole in Street,,1127 W SCHUBERT AVE,60614.0
2018-12-17T00:00:00.000,Open,,18-03378282,Pothole in Street,,5606 W BRYN MAWR AVE,60646.0
2018-12-17T00:00:00.000,Open,,18-03378374,Pothole in Street,,9400 S WOODLAWN AVE,60619.0
2018-12-17T00:00:00.000,Open,,18-03381490,Pothole in Street,,1105 N CHRISTIANA AVE,60651.0
2018-12-17T00:00:00.000,Open,,18-03383626,Pothole in Street,,10359 S FAIRFIELD AVE,60655.0
2018-12-17T00:00:00.000,Open,,18-03382580,Pothole in Street,,5508 S WHIPPLE ST,60629.0
2018-12-18T00:00:00.000,Open,,18-03388378,Pothole in Street,,1358 S KEDZIE AVE,60623.0
2018-12-17T00:00:00.000,Open,,18-03382611,Pothole in Street,,3021 N NEWLAND AVE,60634.0
2018-12-17T00:00:00.000,Open,,18-03384843,Pothole in Street,,4711 N VIRGINIA AVE,60625.0
2018-12-17T00:00:00.000,Open,,18-03383522,Pothole in Street,,7926 S COTTAGE GROVE AVE,60619.0
2018-12-17T00:00:00.000,Open,,18-03378054,Pothole in Street,,4142 N WESTERN AVE,60618.0
2018-12-17T00:00:00.000,Open,,18-03382506,Pothole in Street,,7300 W WAVELAND AVE,60634.0
2018-12-17T00:00:00.000,Open,,18-03382926,Pothole in Street,,2550 N PULASKI RD,60639.0
2018-12-17T00:00:00.000,Open,,18-03381396,Pothole in Street,,3116 N SACRAMENTO AVE,60618.0
2018-12-17T00:00:00.000,Open,,18-03381474,Pothole in Street,,2410 W GRAND AVE,60612.0
2018-12-18T00:00:00.000,Open,,18-03388778,Pothole in Street,,8247 S GREEN ST,60620.0
2018-12-17T00:00:00.000,Open,,18-03385654,Pothole in Street,,4155 W 82ND PL,60652.0
2018-12-17T00:00:00.000,Open,,18-03379525,Pothole in Street,,5300 S FRANCISCO AVE,60632.0
2018-12-17T00:00:00.000,Open,,18-03381588,Pothole in Street,,6231 W GUNNISON ST,60630.0
2018-12-17T00:00:00.000,Open,,18-03382660,Pothole in Street,,1517 W WEBSTER AVE,60614.0
2018-12-17T00:00:00.000,Open,,18-03377810,Pothole in Street,,945 W DIVERSEY PKWY,60614.0
2018-12-17T00:00:00.000,Open,,18-03384615,Pothole in Street,,3707 E 116TH ST,60617.0
2018-12-17T00:00:00.000,Open,,18-03380164,Pothole in Street,,10000 S LOWE AVE,60628.0
2018-12-17T00:00:00.000,Open,,18-03385464,Pothole in Street,,5001 S LA CROSSE AVE,60638.0
2018-12-17T00:00:00.000,Open,,18-03386292,Pothole in Street,,2356 E 71ST ST,60649.0
2018-12-17T00:00:00.000,Open,,18-03378165,Pothole in Street,,1121 N LATROBE AVE,60651.0
2018-12-17T00:00:00.000,Open,,18-03383170,Pothole in Street,,6644 S STONY ISLAND AVE,60637.0
2018-12-17T00:00:00.000,Open,,18-03382675,Pothole in Street,,2640 W MONROE ST,60612.0
2018-12-18T00:00:00.000,Open,,18-03388384,Pothole in Street,,1959 S TROY ST,60623.0
2018-12-17T00:00:00.000,Open,,18-03382923,Pothole in Street,,5046 N AVERS AVE,60625.0
2018-12-18T00:00:00.000,Open,,18-03389579,Pothole in Street,,2600 N LAKEWOOD AVE,60614.0
2018-12-17T00:00:00.000,Open,,18-03383524,Pothole in Street,,4834 N LONG AVE,60630.0
2018-12-17T00:00:00.000,Open,,18-03379830,Pothole in Street,,2305 W 34TH ST,60608.0
2018-12-18T00:00:00.000,Open,,18-03389578,Pothole in Street,,2640 N SHEFFIELD AVE,60614.0
2018-12-17T00:00:00.000,Open,,18-03385110,Pothole in Street,,4180 W 82ND ST,60652.0
2018-12-17T00:00:00.000,Open,,18-03380063,Pothole in Street,,6030 N NAGLE AVE,60646.0
2018-12-17T00:00:00.000,Open,,18-03379292,Pothole in Street,,854 E 40TH ST,60653.0
2018-12-17T00:00:00.000,Open,,18-03383449,Pothole in Street,,3411 S EMERALD AVE,60616.0
2018-12-17T00:00:00.000,Open,,18-03378454,Pothole in Street,,4100 S WESTERN AVE,60609.0
2018-12-18T00:00:00.000,Open,,18-03387506,Pothole in Street,,1145 S WASHTENAW AVE,60612.0
2018-12-17T00:00:00.000,Open,,18-03379518,Pothole in Street,,10200 S HALSTED ST,60628.0
2018-12-18T00:00:00.000,Open,,18-03388112,Pothole in Street,,5400 N WESTERN AVE,60625.0
2018-12-17T00:00:00.000,Open,,18-03381370,Pothole in Street,,2300 N WESTERN AVE,60647.0
2018-12-17T00:00:00.000,Open,,18-03385374,Pothole in Street,,10800 S SANGAMON ST,60643.0
2018-12-17T00:00:00.000,Open,,18-03384523,Pothole in Street,,300 S HOMAN AVE,60624.0
2018-12-17T00:00:00.000,Open,,18-03380286,Pothole in Street,,3542 N PULASKI RD,60641.0
2018-12-18T00:00:00.000,Open,,18-03387600,Pothole in Street,,2747 N LARAMIE AVE,60639.0
2018-12-17T00:00:00.000,Open,,18-03379342,Pothole in Street,,4830 S KEATING AVE,60632.0
2018-12-18T00:00:00.000,Open,,18-03387505,Pothole in Street,,1145 S FAIRFIELD AVE,60612.0
2018-12-18T00:00:00.000,Open,,18-03387458,Pothole in Street,,908 S CAMPBELL AVE,60612.0
2018-12-17T00:00:00.000,Open,,18-03378386,Pothole in Street,,2138 N DAYTON ST,60614.0
2018-12-18T00:00:00.000,Open,,18-03386479,Pothole in Street,,1819 W HOWARD ST,60626.0
2018-12-18T00:00:00.000,Open,,18-03387502,Pothole in Street,,2421 W 21ST PL,60608.0
2018-12-17T00:00:00.000,Open,,18-03382321,Pothole in Street,,8350 W BELMONT AVE,60634.0
2018-12-17T00:00:00.000,Open,,18-03382231,Pothole in Street,,1344 E 88TH ST,60619.0
2018-12-17T00:00:00.000,Open,,18-03378466,Pothole in Street,,1405 W BELLE PLAINE AVE,60613.0
