"code","year","income_group","gross_savings"
"AFG",2015,"Low income",21.466
"AGO",2015,"Upper middle income",-0.425
"ALB",2015,"Upper middle income",13.84
"ARE",2015,"High income",34.106
"ARG",2015,"Upper middle income",14.111
"ARM",2015,"Lower middle income",18.306
"ATG",2015,"High income",18.754
"AUS",2015,"High income",22.111
"AUT",2015,"High income",25.353
"AZE",2015,"Upper middle income",26.4
"BDI",2015,"Low income",-11.014
"BEL",2015,"High income",23.653
"BEN",2015,"Low income",17.567
"BFA",2015,"Low income",5.31
"BGD",2015,"Lower middle income",29.707
"BGR",2015,"Upper middle income",21.056
"BHR",2015,"High income",21.955
"BHS",2015,"High income",11.243
"BIH",2015,"Upper middle income",10.217
"BLR",2015,"Upper middle income",25.419
"BLZ",2015,"Upper middle income",12.155
"BOL",2015,"Lower middle income",13.31
"BRA",2015,"Upper middle income",15.865
"BRB",2015,"High income",7.473
"BRN",2015,"High income",
"BTN",2015,"Lower middle income",32.024
"BWA",2015,"Upper middle income",40.026
"CAF",2015,"Low income",4.882
"CAN",2015,"High income",20.416
"CHE",2015,"High income",34.52
"CHL",2015,"High income",21.306
"CHN",2015,"Upper middle income",47.457
"CIV",2015,"Lower middle income",16.82
"CMR",2015,"Lower middle income",17.088
"COD",2015,"Low income",16.495
"COG",2015,"Lower middle income",-8.049
"COL",2015,"Upper middle income",20.23
"COM",2015,"Low income",19.221
"CPV",2015,"Lower middle income",37.094
"CRI",2015,"Upper middle income",15.725
"CYP",2015,"High income",11.55
"CZE",2015,"High income",28.266
"DEU",2015,"High income",27.571
"DJI",2015,"Lower middle income",19.039
"DMA",2015,"Upper middle income",8.814
"DNK",2015,"High income",28.91
"DOM",2015,"Upper middle income",21.447
"DZA",2015,"Upper middle income",34.738
"ECU",2015,"Upper middle income",24.657
"EGY",2015,"Lower middle income",10.62
"ERI",2015,"Low income",1.329
"ESP",2015,"High income",21.429
"EST",2015,"High income",25.422
"ETH",2015,"Low income",31.269
"FIN",2015,"High income",20.728
"FJI",2015,"Upper middle income",
"FRA",2015,"High income",22.163
"FSM",2015,"Lower middle income",
"GAB",2015,"Upper middle income",29.315
"GBR",2015,"High income",12.952
"GEO",2015,"Upper middle income",20.136
"GHA",2015,"Lower middle income",17.146
"GIN",2015,"Low income",-9.697
"GMB",2015,"Low income",4.687
"GNB",2015,"Low income",9.374
"GNQ",2015,"Upper middle income",54.939
"GRC",2015,"High income",9.783
"GRD",2015,"Upper middle income",0.231
"GTM",2015,"Lower middle income",13.115
"GUY",2015,"Upper middle income",8.214
"HKG",2015,"High income",24.858
"HND",2015,"Lower middle income",18.403
"HRV",2015,"High income",23.894
"HTI",2015,"Low income",29.277
"HUN",2015,"High income",25.102
"IDN",2015,"Lower middle income",32.14
"IND",2015,"Lower middle income",31.689
"IRL",2015,"High income",31.998
"IRN",2015,"Upper middle income",34.511
"IRQ",2015,"Upper middle income",17.971
"ISL",2015,"High income",24.552
"ISR",2015,"High income",24.296
"ITA",2015,"High income",18.934
"JAM",2015,"Upper middle income",12.111
"JOR",2015,"Upper middle income",10.146
"JPN",2015,"High income",26.99
"KAZ",2015,"Upper middle income",26.533
"KEN",2015,"Lower middle income",14.392
"KGZ",2015,"Lower middle income",18.333
"KHM",2015,"Lower middle income",11.798
"KIR",2015,"Lower middle income",
"KNA",2015,"High income",17.742
"KOR",2015,"High income",36.58
"KWT",2015,"High income",31.649
"LAO",2015,"Lower middle income",
"LBN",2015,"Upper middle income",3.82
"LBR",2015,"Low income",
"LBY",2015,"Upper middle income",
"LCA",2015,"Upper middle income",17.103
"LKA",2015,"Lower middle income",27.586
"LSO",2015,"Lower middle income",30.116
"LTU",2015,"High income",17.555
"LUX",2015,"High income",24.865
"LVA",2015,"High income",21.325
"MAC",2015,"High income",
"MAR",2015,"Lower middle income",28.079
"MDA",2015,"Lower middle income",17.961
"MDG",2015,"Low income",11.15
"MDV",2015,"Upper middle income",9.798
"MEX",2015,"Upper middle income",20.019
"MHL",2015,"Upper middle income",
"MKD",2015,"Upper middle income",29.029
"MLI",2015,"Low income",10.118
"MLT",2015,"High income",29.024
"MMR",2015,"Lower middle income",19.313
"MNE",2015,"Upper middle income",6.702
"MNG",2015,"Lower middle income",21.122
"MOZ",2015,"Low income",14.228
"MRT",2015,"Lower middle income",18.915
"MUS",2015,"Upper middle income",16.312
"MWI",2015,"Low income",2.676
"MYS",2015,"Upper middle income",28.087
"NAM",2015,"Upper middle income",20.514
"NER",2015,"Low income",24.479
"NGA",2015,"Lower middle income",12.298
"NIC",2015,"Lower middle income",23.627
"NLD",2015,"High income",27.854
"NOR",2015,"High income",36.88
"NPL",2015,"Low income",43.787
"NRU",2015,"High income",
"NZL",2015,"High income",20.123
"OMN",2015,"High income",18.347
"PAK",2015,"Lower middle income",14.48
"PAN",2015,"Upper middle income",39.271
"PER",2015,"Upper middle income",19.703
"PHL",2015,"Lower middle income",23.036
"PLW",2015,"Upper middle income",
"PNG",2015,"Lower middle income",
"POL",2015,"High income",19.832
"PRI",2015,"High income",
"PRT",2015,"High income",15.521
"PRY",2015,"Upper middle income",15.781
"QAT",2015,"High income",46.556
"ROU",2015,"Upper middle income",23.747
"RUS",2015,"Upper middle income",27.175
"RWA",2015,"Low income",8.687
"SAU",2015,"High income",26.174
"SDN",2015,"Lower middle income",9.263
"SEN",2015,"Low income",16.576
"SGP",2015,"High income",44.88
"SLB",2015,"Lower middle income",17.332
"SLE",2015,"Low income",0.947
"SLV",2015,"Lower middle income",10.425
"SMR",2015,"High income",
"SRB",2015,"Upper middle income",14.141
"SSD",2015,"Low income",7.304
"STP",2015,"Lower middle income",19.363
"SUR",2015,"Upper middle income",50.155
"SVK",2015,"High income",23.415
"SVN",2015,"High income",25.243
"SWE",2015,"High income",28.902
"SWZ",2015,"Lower middle income",22.994
"SYC",2015,"High income",15.005
"SYR",2015,"Lower middle income",
"TCD",2015,"Low income",14.605
"TGO",2015,"Low income",15.912
"THA",2015,"Upper middle income",30.301
"TJK",2015,"Lower middle income",12.495
"TKM",2015,"Upper middle income",
"TLS",2015,"Lower middle income",
"TON",2015,"Lower middle income",
"TTO",2015,"High income",11.131
"TUN",2015,"Lower middle income",12.528
"TUR",2015,"Upper middle income",24.743
"TUV",2015,"Upper middle income",
"TZA",2015,"Low income",24.079
"UGA",2015,"Low income",17.888
"UKR",2015,"Lower middle income",15.657
"URY",2015,"High income",17.713
"USA",2015,"High income",19.107
"UZB",2015,"Lower middle income",30.29
"VCT",2015,"Upper middle income",2.483
"VEN",2015,"Upper middle income",31.787
"VNM",2015,"Lower middle income",28.055
"VUT",2015,"Lower middle income",
"WSM",2015,"Lower middle income",
"YEM",2015,"Lower middle income",-3.715
"ZAF",2015,"Upper middle income",16.46
"ZMB",2015,"Lower middle income",39.177
"ZWE",2015,"Low income",5.563
